0,1,2
19644.0,1433.0,6745.0
20610.0,1556.0,7635.0
21638.0,1685.0,7931.0
,1812.0,7931.0
24811.0,1934.0,8913.0
27017.0,2077.0,9625.0
29406.0,2234.0,10457.0
32332.0,2378.0,
35408.0,2517.0,11679.0
38309.0,2640.0,12391.0
41495.0,2757.0,13911.0
44605.0,2898.0,
47593.0,3036.0,15473.0
50468.0,3160.0,
53183.0,3294.0,17935.0
55743.0,3452.0,19736.0
58226.0,3603.0,19736.0
60500.0,3739.0,24236.0
62589.0,3872.0,27039.0
64586.0,3993.0,29812.0
66220.0,,
68192.0,4232.0,35465.0
70029.0,4357.0,41947.0
71686.0,4474.0,43894.0
73303.0,,45983.0
74877.0,4683.0,48129.0
76389.0,4777.0,49933.0
77995.0,4869.0,
79494.0,4958.0,54064.0
80868.0,,55987.0
82211.0,5118.0,57023.0
83505.0,5209.0,59273.0
,5297.0,60965.0
85996.0,5391.0,63113.0
87026.0,5481.0,64843.0
88194.0,5574.0,
89328.0,5650.0,68193.0
90481.0,5710.0,
91472.0,5806.0,70933.0
92584.0,5877.0,72439.0
93657.0,5957.0,73791.0
94640.0,6028.0,75103.0
95646.0,6091.0,76318.0
96448.0,6156.0,77350.0
97424.0,6203.0,78422.0
98647.0,6277.0,
99970.0,6340.0,80475.0
101650.0,6418.0,81587.0
103135.0,6486.0,82744.0
104691.0,6541.0,83837.0
106220.0,,85064.0
107603.0,6640.0,86143.0
109286.0,6685.0,87422.0
,6733.0,88357.0
112725.0,,89428.0
,6854.0,90539.0
116635.0,6902.0,91836.0
118392.0,6937.0,93147.0
120198.0,6988.0,94464.0
122492.0,7057.0,95661.0
124603.0,7119.0,
126949.0,7183.0,98808.0
129341.0,7249.0,100564.0
131652.0,7300.0,102276.0
133521.0,7359.0,104072.0
135701.0,7417.0,105801.0
137724.0,7451.0,107713.0
139511.0,7508.0,109437.0
141591.0,7564.0,111176.0
143849.0,7627.0,112988.0
146668.0,7677.0,114931.0
,7734.0,116827.0
151466.0,7797.0,118848.0
154445.0,7878.0,121004.0
157562.0,7942.0,123077.0
160696.0,8012.0,125206.0
164270.0,8071.0,127485.0
167156.0,8134.0,129741.0
169425.0,8209.0,132038.0
171789.0,8281.0,
173832.0,8351.0,
175927.0,8425.0,138457.0
177938.0,8506.0,140590.0
180156.0,8584.0,142663.0
182525.0,8659.0,144649.0
184955.0,8730.0,146748.0
187427.0,8837.0,148674.0
189876.0,8950.0,150590.0
192439.0,,152675.0
195051.0,9185.0,154812.0
,9272.0,156991.0
,9392.0,159192.0
202584.0,,161384.0
204952.0,9623.0,163591.0
,9742.0,166427.0
209970.0,9863.0,169160.0
212501.0,9996.0,172096.0
215096.0,10130.0,175103.0
217724.0,10239.0,177852.0
220180.0,10364.0,180661.0
222669.0,10508.0,183310.0
,,186180.0
227662.0,10817.0,188758.0
230211.0,10958.0,191487.0
232863.0,11106.0,194098.0
235429.0,11260.0,196446.0
237878.0,11408.0,198949.0
240438.0,11571.0,201330.0
243051.0,11731.0,204083.0
245688.0,,207000.0
248379.0,12084.0,209463.0
,12305.0,212176.0
252720.0,12447.0,215015.0
255117.0,12635.0,217666.0
257303.0,12829.0,219993.0
259652.0,13032.0,222539.0
262173.0,13211.0,225270.0
264561.0,13410.0,227561.0
267061.0,13608.0,230608.0
269440.0,13791.0,232873.0
271606.0,13979.0,235300.0
273788.0,14188.0,237788.0
276202.0,,240087.0
278827.0,14634.0,242351.0
281413.0,14853.0,244840.0
284034.0,15074.0,247230.0
286523.0,15289.0,249212.0
288839.0,15484.0,251319.0
,15700.0,
,15912.0,255144.0
296273.0,16147.0,257019.0
298909.0,16343.0,259116.0
301530.0,,261200.0
304204.0,16766.0,263519.0
306752.0,16982.0,265830.0
309437.0,17190.0,268102.0
312035.0,17405.0,270228.0
314786.0,17617.0,272535.0
317483.0,17802.0,274932.0
320117.0,17976.0,277463.0
322567.0,,279724.0
324692.0,18264.0,282122.0
326712.0,18427.0,284371.0
328844.0,18616.0,286642.0
331189.0,18800.0,288620.0
333699.0,18988.0,290244.0
336324.0,,292058.0
338825.0,19331.0,
341070.0,19492.0,295630.0
343203.0,19639.0,297486.0
345450.0,,
347835.0,19972.0,300881.0
350279.0,20125.0,302528.0
,20264.0,304236.0
354764.0,20376.0,305866.0
356792.0,20502.0,307702.0
358905.0,20643.0,309464.0
361150.0,,311365.0
363363.0,20901.0,313058.0
365606.0,21020.0,314870.0
367796.0,21137.0,316638.0
369911.0,21249.0,318270.0
371816.0,,319847.0
373570.0,21462.0,321421.0
375212.0,21571.0,323233.0
376894.0,21672.0,325124.0
378752.0,21797.0,326801.0
380746.0,21926.0,328595.0
382772.0,22044.0,330308.0
